	review	label	restaurant
0	엄청 맛있지는 않지만 먹을만해요~	4	벚꽃스시-부평점
1	맛있게 잘 먹었습니다 :)	5	벚꽃스시-부평점
2	맛있게 잘 먹었습니다	5	벚꽃스시-부평점
3	맛있고 배달빨라서 좋네요*^^ 다음에 또먹을게요	5	벚꽃스시-부평점
4	모두 다 맛있었어요 ^^	5	벚꽃스시-부평점
5	항상 배달이 빠르고 맛있고 푸짐하고 신선해요ㅠㅠ! 완전 추천	5	벚꽃스시-부평점
6	빠른 배달도 맛도 아주 좋았어요. 양도 푸짐!! 연어를 그리 좋아하지 않는 저도 맛있게 먹었어요. 리뷰이벤트 신청을 깜빡해서 아쉽네요ㅋ	5	벚꽃스시-부평점
7	맛있어요^^♡숙성연어 드셔보세용 정성이 담긴 초밥이네요	4	벚꽃스시-부평점
8	우연히 알게되어 세번째 주문입니다 시킬때마다 맛있게 먹고있어요 서비스까지 감사합니다	5	벚꽃스시-부평점
9	항상굿인가게입다 또시킬게요	5	벚꽃스시-부평점
10	오늘도 주문! 그래 이맛이야	5	벚꽃스시-부평점
11	오! 연어 맛있네용	5	벚꽃스시-부평점
12	이전에 초밥도 맛있게 먹었는데 오늘도 맛있게 잘 먹고있습니다!!	5	벚꽃스시-부평점
13	진짜 양도 많고 너무맛있어요!! 연어가 진짜 최고~!	5	벚꽃스시-부평점
14	초밥여기서만시켜요!!! 벌써 세번째주문입니당:)♡	5	벚꽃스시-부평점
15	와~ 정말 맛있어요 입에서 살살 녹네요~	5	벚꽃스시-부평점
16	오랜만에 시켜 먹었는데 역시나 너무 맛있네요	5	벚꽃스시-부평점
17	횟감이 두툼하고 감칠맛이 살아 있습니다	5	벚꽃스시-부평점
18	맛도 있었고 양도 적당해서 좋았어요	4	벚꽃스시-부평점
19	두번째 주문인데 역시 만족스럽게 먹었어요 긍데 벚꽃스시라고 봉투도 벚꽃색인거 킬포네요 ㅎㅎ	5	벚꽃스시-부평점
20	단맛이 있긴하지만 두툼한 생선살이 입안에 사르르 녹습니딘	3	벚꽃스시-부평점
21	진짜 맛있게 잘먹었습니다 가성비도 좋아요	5	벚꽃스시-부평점
22	항상 맛있게 먹고 있어요 ㅜㅜ💕💕 번창하세요!!!	5	벚꽃스시-부평점
23	맛있게 잘 먹었어요	5	벚꽃스시-부평점
24	서비스로주신 연어조림 첨먹었는데 맛있어요. 아이들이어린데? 이걸 맛있다고 밥이랑 잘먹네요ㄷㄷ 따로 팔았으면 좋겠어요. 자주는 안주실듯하니ㅎ	5	벚꽃스시-부평점
25	정말 맛있었습니다. 다음에 또 시켜먹을거같네요.	5	벚꽃스시-부평점
26	맛도 좋고 가격도 착하네요!	5	벚꽃스시-부평점
27	맛있는데 양이 아쉬워요...	5	벚꽃스시-부평점
28	월요일에 먹고 친구들 놀러와서 또 시켰는데  푸짐하게 잘 먹었습니당!ㅋㅋㅋㅋ 친구들도 너무 맛있대요	5	벚꽃스시-부평점
29	회도 두툼하고 맛있엏어요.!	5	벚꽃스시-부평점
30	지난번에 다른거 시켰다가 넘 만족해서 재주문 했는데 여러 댓글에 마트초밥이라고 적어놓은 이유를 알것같다 ㅜㅜ	4	벚꽃스시-부평점
31	맛있게잘먹었습니다 배달완료라고해서나가봤는데 도착전이라서그부분은아쉬웠어요	5	벚꽃스시-부평점
32	와 진짜맛잇어요 저 연어 요즘이 여기만 먹고있어요 서비스로주신 초밥도 맛있었구 잘 먹었습니다 감사합니다😍😍	5	벚꽃스시-부평점
33	초밥은 처음 주문해봤거든요 맛있네요!! 👍	5	벚꽃스시-부평점
34	맛있어서 항상 여기에서만 시켜먹어요 흐흐 그리고 갈릭초밥 대신 새우초밥 넣어달라 했는데 넣어주셨어용!! 감사합니다🙇‍♀️	5	벚꽃스시-부평점
35	맛있습니다 사케동도 연어가 넘쳐나서 마지막에는 연어만 먹었네요 양 굿이에요 서비스초밥도 잘 먹었습니다	5	벚꽃스시-부평점
36	항상 만족스런 식사하게 해주셔서 ㄱㅅ합니다~^^	5	벚꽃스시-부평점
37	맛있게 잘먹었습니다~	5	벚꽃스시-부평점
38	잘먹었습니다! 리뷰이벤트로 아무것도 안왔어요 ㅠㅠ	5	벚꽃스시-부평점
39	잘먹었습니다.. 또 주문할게요..	5	벚꽃스시-부평점
40	맛있네요......	5	벚꽃스시-부평점
41	너무 맛있어요. 시킬때마다 만족스럽습니다.	5	벚꽃스시-부평점
42	서비스 감사합니다!	5	벚꽃스시-부평점
43	맛있게먹었어요😀😀😀 근데 연어대신 새우장으로 교환은 안되는건가요~?	5	벚꽃스시-부평점
44	매번 시켜먹는곳인데.. 이번엔 좀 별로였어요	5	벚꽃스시-부평점
45	맛있고 서비스도 짱입니다 ㅎㅎㅎ  특히 배달이 진짜 너무너무 빨랐러료	5	벚꽃스시-부평점
46	배달예상  소요시간보다  빨리 도착했어요  ~   다양하게  즐길수있어  만족스럽게  맛있게   잘먹었습니다ㅎㅎ👍🏻  사장님  힘든 코시국에  늘  대박나는 사업  되시기를  바랍니다  ~🎊🍀🙏🏻	5	벚꽃스시-부평점
47	화이트와인에 정말 잘 맞네요.  양도 적당하고 두께감이 있어 좋아요. 맛있게 잘먹었습니다.	5	벚꽃스시-부평점
48	여긴다맛있어요ㅜㅜ	5	벚꽃스시-부평점
49	빨리 잘 가져다 주셨어요 감사합니다 ~~ 그리고 회가 너무 신선해서 입에서 녹아버렸네요 ㅎㅎ	5	벚꽃스시-부평점
50	오늘은 한쪽으로 쏠리지도 않고 이쁘게 잘도착했네요. 너무 맛있게 잘먹었어요	5	벚꽃스시-부평점
51	맛있어서 재주문했어요! 역시깔끔 맛나요 :) 치킨가라아게는 조금 짭짤하네요!	5	벚꽃스시-부평점
53	배달은 뭐 엄청빨랐고 밥맛이 시큼한가해서 알아보니 변질방지를 위해 식초를 뿌렸더라고요 걱정없이 드셔도 될것같아요! 포장은 깔끔하게 랩으로 싸주셨고 1인분만 시켰는데 서비스까지 챙겨주셨어요~!!	5	벚꽃스시-부평점
54	자주 먹어요~~~  회무침 가성비 짱~ 연어롤과 회무침 혼자먹었더니 배터지겄어요 ㅎ  감사합니다^^	5	벚꽃스시-부평점
55	생선도 두툼하고 리뷰로 주는것도 좋은걸 주시네요 😍 가까운것도 있지만 배달이 엄청 빨라서 너무 좋았어요.맛있게 잘 먹었습니다	5	벚꽃스시-부평점
56	초밥만먹다 사시미 처음시켜봤는데 괜찮네요 혼술로	5	벚꽃스시-부평점
57	쿠폰 10장 넘도록 시켰는디 질리지가 않네	5	벚꽃스시-부평점
58	훈제 연어 초밥만 먹다가 색달라서 그런지 맛있네요 자주 애용 할거 같습니다	5	벚꽃스시-부평점
59	사케동도맛있고회덮밥도회가싱싱하고야채도푸짐해서맛있게먹었네요~	5	벚꽃스시-부평점
60	진짜 빠르네요 또시킵니다	5	벚꽃스시-부평점
61	언제나 맛있어요~ 잘 먹었습니다~~	5	벚꽃스시-부평점
62	자주 시캬먹는곳!👍	5	벚꽃스시-부평점
63	맛있었습니다 리뷰이벤트도 혜자네요^^	5	벚꽃스시-부평점
64	자주먹는 벚꽃스시 진짜맛있어요!!!! 숙성 연어초밥도맛있지만 연어스테이크 진짜 별미입니다  포장도항상 꼼꼼하게 잘 되있고 너무 좋아요 꼭 드셔보세요!!!	5	벚꽃스시-부평점
